,PARIS_13ème,OBJECTID
,PA13,0
,ozone,1
,O3,2
,microg/m3,3
2019-01-01 01:00:00Z,37.400000,4
2019-01-01 02:00:00Z,41.600000,5
2019-01-01 03:00:00Z,39.600000,6
2019-01-01 04:00:00Z,47.100000,7
2019-01-01 05:00:00Z,55.600000,8
2019-01-01 06:00:00Z,40.400000,9
2019-01-01 07:00:00Z,47.900000,10
2019-01-01 08:00:00Z,48.300000,11
2019-01-01 09:00:00Z,50.900000,12
2019-01-01 10:00:00Z,57.700000,13
2019-01-01 11:00:00Z,54.200000,14
2019-01-01 12:00:00Z,56.200000,15
2019-01-01 13:00:00Z,52.300000,16
2019-01-01 14:00:00Z,49.400000,17
2019-01-01 15:00:00Z,47,18
2019-01-01 16:00:00Z,43.300000,19
2019-01-01 17:00:00Z,36.500000,20
2019-01-01 18:00:00Z,30.300000,21
2019-01-01 19:00:00Z,27.900000,22
2019-01-01 20:00:00Z,28.400000,23
2019-01-01 21:00:00Z,25.300000,24
2019-01-01 22:00:00Z,24,25
2019-01-01 23:00:00Z,38.700000,26
2019-01-02 00:00:00Z,61.400000,27
2019-01-02 01:00:00Z,63.800000,28
2019-01-02 02:00:00Z,61.100000,29
2019-01-02 03:00:00Z,61.500000,30
2019-01-02 04:00:00Z,59.200000,31
2019-01-02 05:00:00Z,58.700000,32
2019-01-02 06:00:00Z,58.200000,33
2019-01-02 07:00:00Z,49.400000,34
2019-01-02 08:00:00Z,46.300000,35
2019-01-02 09:00:00Z,41,36
2019-01-02 10:00:00Z,49.700000,37
2019-01-02 11:00:00Z,49.700000,38
2019-01-02 12:00:00Z,52.500000,39
2019-01-02 13:00:00Z,58.200000,40
2019-01-02 14:00:00Z,60.600000,41
2019-01-02 15:00:00Z,62,42
2019-01-02 16:00:00Z,55.800000,43
2019-01-02 17:00:00Z,54.100000,44
2019-01-02 18:00:00Z,51.600000,45
2019-01-02 19:00:00Z,51.100000,46
2019-01-02 20:00:00Z,46.700000,47
2019-01-02 21:00:00Z,48.500000,48
2019-01-02 22:00:00Z,48.800000,49
2019-01-02 23:00:00Z,50.200000,50
2019-01-03 00:00:00Z,48.300000,51
2019-01-03 01:00:00Z,48.300000,52
2019-01-03 02:00:00Z,54.400000,53
2019-01-03 03:00:00Z,55,54
2019-01-03 04:00:00Z,51.900000,55
2019-01-03 05:00:00Z,46.700000,56
2019-01-03 06:00:00Z,41.500000,57
2019-01-03 07:00:00Z,30.300000,58
2019-01-03 08:00:00Z,23.900000,59
2019-01-03 09:00:00Z,23.700000,60
2019-01-03 10:00:00Z,31.200000,61
2019-01-03 11:00:00Z,35.900000,62
2019-01-03 12:00:00Z,36.100000,63
2019-01-03 13:00:00Z,38.700000,64
2019-01-03 14:00:00Z,50.800000,65
2019-01-03 15:00:00Z,50.500000,66
2019-01-03 16:00:00Z,47.200000,67
2019-01-03 17:00:00Z,41.500000,68
2019-01-03 18:00:00Z,43.200000,69
2019-01-03 19:00:00Z,46.800000,70
2019-01-03 20:00:00Z,46.900000,71
2019-01-03 21:00:00Z,46.800000,72
2019-01-03 22:00:00Z,46.400000,73
2019-01-03 23:00:00Z,43.200000,74
2019-01-04 00:00:00Z,43.600000,75
2019-01-04 01:00:00Z,39,76
2019-01-04 02:00:00Z,36.400000,77
2019-01-04 03:00:00Z,35.600000,78
2019-01-04 04:00:00Z,35.100000,79
2019-01-04 05:00:00Z,33.100000,80
2019-01-04 06:00:00Z,29,81
2019-01-04 07:00:00Z,16.900000,82
2019-01-04 08:00:00Z,4.700000,83
2019-01-04 09:00:00Z,6.100000,84
2019-01-04 10:00:00Z,13.200000,85
2019-01-04 11:00:00Z,21.700000,86
2019-01-04 12:00:00Z,27.300000,87
2019-01-04 13:00:00Z,43.600000,88
2019-01-04 14:00:00Z,44.100000,89
2019-01-04 15:00:00Z,51.800000,90
2019-01-04 16:00:00Z,51.500000,91
2019-01-04 17:00:00Z,44,92
2019-01-04 18:00:00Z,48.100000,93
2019-01-04 19:00:00Z,50.400000,94
2019-01-04 20:00:00Z,47,95
2019-01-04 21:00:00Z,44.100000,96
2019-01-04 22:00:00Z,40.900000,97
2019-01-04 23:00:00Z,40,98
2019-01-05 00:00:00Z,38.300000,99
2019-01-05 01:00:00Z,42.300000,100
2019-01-05 02:00:00Z,46.500000,101
2019-01-05 03:00:00Z,47.100000,102
2019-01-05 04:00:00Z,54.700000,103
2019-01-05 05:00:00Z,53.600000,104
2019-01-05 06:00:00Z,48,105
2019-01-05 07:00:00Z,44.700000,106
2019-01-05 08:00:00Z,39.300000,107
2019-01-05 09:00:00Z,35.300000,108
2019-01-05 10:00:00Z,33.600000,109
2019-01-05 11:00:00Z,30.700000,110
2019-01-05 12:00:00Z,29.100000,111
2019-01-05 13:00:00Z,25.300000,112
2019-01-05 14:00:00Z,26.800000,113
2019-01-05 15:00:00Z,32.800000,114
2019-01-05 16:00:00Z,34.300000,115
2019-01-05 17:00:00Z,34.900000,116
2019-01-05 18:00:00Z,31.800000,117
2019-01-05 19:00:00Z,35.200000,118
2019-01-05 20:00:00Z,43.400000,119
2019-01-05 21:00:00Z,37.700000,120
2019-01-05 22:00:00Z,36.900000,121
