commerce;jour de fermeture;adresse;code postal;ville;coord_geo
Le Nemrod;dimanche;124 R. JULIAN GRIMAU;94400;VITRY-SUR-SEINE;48.777225,2.377343
Clair de Plume;dimanche;34 AV. YOURI GAGARINE - C.CIAL;94400;VITRY-SUR-SEINE;48.785241,2.392054
Eliyah;dimanche;2 R. EUGÈNE HENAFF (C. CIAL );94400;VITRY-SUR-SEINE;48.794313,2.416078
Le Village;dimanche;18 R. ADRIEN DAMALIX;94410;SAINT-MAURICE;48.821316,2.422028
Royal St Maurice;lundi;56TER AV.MAR. DE LATTRE DE TASSIGNY;94410;SAINT-MAURICE;48.822724,2.420038
Au Scribe;dimanche;18 RUE ALBERT THOMAS;94500;CHAMPIGNY-SUR-MARNE;48.811802,2.510741
Le Balto;dimanche;190 BOULEVARD DE STALINGRAD;94500;CHAMPIGNY-SUR-MARNE;48.823863,2.496405
Tabac de la Tour;dimanche;15 R. DE LA TOUR;94550;CHEVILLY-LARUE;48.762184,2.360419
Le Stalingrad;dimanche;58 BD DE STALINGRAD;94600;CHOISY-LE-ROI;48.771381,2.401004
Au Presse Papier;dimanche;202 R. JEAN JAURÈS;94700;MAISONS-ALFORT;48.793663,2.4341
Tabac Géorgie;dimanche;26 BD HÉLOISE;95100;ARGENTEUIL;48.942463,2.253589
La Divette;0;61 R. PAUL VAILLANT COUTURIER;95100;ARGENTEUIL;48.944526,2.251537
Tabac du Vieux Pays;dimanche;17 RUE DE VERDUN;95140;GARGES-LÈS-GONESSE;48.967493,2.411154
La Tabatière;dimanche;4 PLACE DE LA LIBÉRATION;95200;SARCELLES;48.99612,2.378001
Le Maracana;dimanche;35 RUE DU GÉNÉRAL LECLERC;95500;GONESSE;48.987182,2.446824
La Carotte la Plume;dimanche;1 AVENUE GEORGES POMPIDOU;95500;GONESSE;48.990693,2.431018
Vélocivette;dimanche;22 R.TURBIGO;75002;PARIS;48.864151,2.350775
Le Losange;dimanche;150 R. SAINT-DENIS;75002;PARIS;48.865595,2.350669
Le Troquet du Temple;dimanche;9 R. DU TEMPLE;75004;PARIS;48.857845,2.352783
Tabac des Vosges;lundi;25 RUE DE TURENNES;75004;PARIS;48.856296,2.364065
Civette Bastille;dimanche;4 R. DE LA BASTILLE;75004;PARIS;48.853777,2.367786
Tabac de la Sorbonne;dimanche;7 PL. DE LA SORBONNE;75005;PARIS;48.848625,2.341815
Tabac St-Germain;dimanche;64 R. DE SEINE;75006;PARIS;48.853246,2.336922
Civette Rennes;dimanche;111 R. DE RENNES;75006;PARIS;48.848425,2.328418
Café de l'Université;dimanche;151 R. DE L'UNIVERSITÉ;75007;PARIS;48.861069,2.305296
L'Ariel;dimanche;20 R. DES MARTYRS;75009;PARIS;48.877938,2.339645
Café Drouot;0;10 R. DROUOT ANGLE 4R. ROSSINI;75009;PARIS;48.873175,2.339193
Les Volcans;dimanche;105 R. DU FBG POISSONNIÈRE;75009;PARIS;48.877525,2.349071
Le Lutétia;dimanche;156 R. LA FAYETTE;75010;PARIS;48.879241,2.356939
Vallée des Vinales;dimanche;262 R. DU FAUBOURG ST-MARTIN;75010;PARIS;48.882974,2.367683
Le Lutétia;dimanche;47 RUE DE LA GRANGE AUX BELLES;75010;PARIS;48.875988,2.368073
Le Jean Bart;dimanche;129 R. DU FAUBOURG DU TEMPLE;75010;PARIS;48.871631,2.375553
Le Balto;dimanche;125 BD. DE MAGENTA;75010;PARIS;48.880313,2.35212
Tabac Saint-Antoine;dimanche;203 R. DU FAUBOURG SAINT-ANTOINE;75011;PARIS;48.850528,2.382541
Tabac Du Canon;dimanche;2 PLACE DE LA NATION;75012;PARIS;48.848428,2.394171
Le Narval;0;247 R. DE CHARENTON;75012;PARIS;48.836547,2.391945
TABAC DIDO;dimanche;113 RUE DE CHARENTON;75012;PARIS;48.846652,2.378803
Le Disque Bleu;dimanche;23 R. DE WATTIGNIES;75012;PARIS;48.836464,2.394074
Le Virginie;dimanche;1 R. DE REUILLY;75012;PARIS;48.84971,2.385094
Tabac - Presse;dimanche;156 R. DE TOLBIAC;75013;PARIS;48.826115,2.354092
Librairie Blanqui 13;dimanche;85 R.AUGUSTE BLANQUI;75013;PARIS;48.830849,2.367921
Korum-Café;dimanche;12  R. NEUVE TOLBIAC;75013;PARIS;48.831872,2.378738
Pourquoi Pas;dimanche;136 AV. D'ITALIE;75013;PARIS;48.823268,2.357873
Tabac des Olympiades;mercredi;66  AV. D'IVRY;75013;PARIS;48.824302,2.363909
Le Tabaclub;dimanche;45 AV D'ITALIE;75013;PARIS;48.827251,2.357226
Le Marigny;dimanche;92 R. DIDOT;75014;PARIS;48.828222,2.315687
Tabac des Plantes;dimanche;36/38 R. DES PLANTES;75014;PARIS;48.829598,2.32281
Le Maryland;dimanche;108 R. DIDOT;75014;PARIS;48.826489,2.313133
La Sablière;dimanche;32 R. DE LA SABLIÈRE;75014;PARIS;48.832148,2.322133
Le Rallye;dimanche;29 R. CAMBRONNE;75015;PARIS;48.84578,2.302092
La Gitane;dimanche;47 BD DE GRENELLE;75015;PARIS;48.851729,2.291886
Le Celtic;dimanche;1 R. MADEMOISELLE;75015;PARIS;48.843588,2.293499
Le Balard;dimanche;3 PL. BALARD;75015;PARIS;48.836918,2.279066
La Vitole;dimanche;126 BD MURAT;75016;PARIS;48.83717,2.259019
Tabac de la Mairie;dimanche;66 R. DE LA POMPE;75016;PARIS;48.863069,2.276575
La Civette d'Auteuil;dimanche;37 R. CHANEZ;75016;PARIS;48.845507,2.259036
Tabac de la Tour;0;51 RUE DE LA TOUR;75016;PARIS;48.860579,2.280302
Tabac du Dôme;dimanche;24 R. LAURISTON;75016;PARIS;48.871192,2.2919
Le Franklin;dimanche;4 R. BENJAMIN FRANKLIN;75016;PARIS;48.859012,2.28496
A Jean Bart;samedi;2 R. JOUFFROY D'ABBANS;75017;PARIS;48.887297,2.313416
Le Maillot;dimanche;78 AV. DE LA GRANDE ARMÉE;75017;PARIS;48.87742,2.284714
Tabac - Presse;dimanche;68 R. DU POTEAU;75018;PARIS;48.895506,2.339983
Tabac La Comète;dimanche;50 R. MARX DROMOY;75018;PARIS;48.887733,2.360015
Le Vizir;dimanche;173 R. ORDENER;75018;PARIS;48.893419,2.337175
Le Celtic;dimanche;104 AV. DE SAINT-OUEN;75018;PARIS;48.894168,2.328003
Tabac Forest;0;5 R. FOREST;75018;PARIS;48.885101,2.329275
Tabac Antenne 19;dimanche;2 R. MOUZAIA;75019;PARIS;48.879965,2.39056
Village des Fêtes;dimanche;15/17 R. HENRI RIBIÈRE;75019;PARIS;48.87705,2.395497
Le Bergerac;mardi;178 AV. JEAN JAURÈS;75019;PARIS;48.887739,2.38974
Tabac L'Horloge;dimanche;212 AV. JEAN JAURÈS;75019;PARIS;48.888583,2.392973
Le Capitole;dimanche;269 RUE DES PYRÉNÉES;75020;PARIS;48.867351,2.396392
Le Voltigeur;dimanche;136 RUE DES COURONNES;75020;PARIS;48.87259,2.389466
Le Baccara;dimanche;66 RUE DE BELLEVILLE;75020;PARIS;48.873459,2.38326
Le Vingtième;0;82 RUE BELGRAND;75020;PARIS;48.864487,2.408181
Tabac PENG;lundi;0 AV.DE LA RÉPUBLIQUE C.CIAL2000;77340;PONTAULT-COMBAULT;48.802577,2.61104
Le Papyrus;dimanche;CCIAL ROUTE DE MONTFERMEIL;77500;CHELLES;48.888603,2.583435
Librairie des Indes;dimanche;CCIAL CARREFOUR - R. MAURICE THOREZ;78500;SARTROUVILLE;48.945411,2.201685
Le Balto;dimanche;42 AV. DE STALINGRAD;91120;PALAISEAU;48.715051,2.256335
Tabac - Presse;mercredi;48 AV. JEAN MERMOZ;91170;VIRY-CHÂTILLON;48.65886,2.367256
Tabac de la Mairie;lundi;2 PL. DE L'EGLISE;91200;ATHIS-MONS;48.708284,2.389184
Le Rothenburg;dimanche;1/3 PL. DE ROTHENBURG;91200;ATHIS-MONS;48.712454,2.402716
Le Fontenoy;dimanche;34 AV. FRANÇOIS MITTERRAND;91200;ATHIS-MONS;48.70056,2.372019
La Civette;dimanche;18 BD DU MARÉCHAL JUIN;91370;VERRIÈRES-LE-BUISSON;48.752871,2.272576
Tabac - Presse;dimanche;1 PL. DE LA LIBÉRATION -C.CIAL;91380;CHILLY-MAZARIN;48.702653,2.321128
La Civette du Pont;dimanche;253 BD JEAN JAURÈS;92100;BOULOGNE-BILLANCOURT;48.827029,2.247359
Le Havane;dimanche;50 AV. JEAN-BAPTISTE CLÉMENT;92100;BOULOGNE-BILLANCOURT;48.845528,2.235982
Le  Lutétia;dimanche;27 AV. JEAN BAPTISTE CLÉMENT;92100;BOULOGNE-BILLANCOURT;48.846598,2.238835
Tabac de la Mairie;dimanche;83 BD JEAN JAURÈS;92110;CLICHY;48.902304,2.304219
Le Disque Bleu;dimanche;68  AV. HENRI GINOUX;92120;MONTROUGE;48.817018,2.321553
Le Gaulois;dimanche;101 AV. DE LA RÉPUBLIQUE;92120;MONTROUGE;48.814031,2.316925
Espace Tabac;dimanche;19 R. JEAN-PIERRE TIMBAUD;92130;ISSY-LES-MOULINEAUX;48.819639,2.249811
La Civette;dimanche;1 R. PAUL VAILLANT COUTURIER;92140;CLAMART;48.801432,2.266724
Tabac Le Versailles;dimanche;16 R. DE VERSAILLES;92140;CLAMART;48.782868,2.247841
Le Charles X;mercredi;100 R. DE LA LIBERTÉ;92150;SURESNES;48.879591,2.219065
Civette Saint-Claude;dimanche;4 PL. DU GÉNÉRAL LECLERC;92150;SURESNES;48.869267,2.227485
Tabac de la Gare;dimanche;2 R. MERLIN DE THIONVILLE;92150;SURESNES;48.868101,2.221926
Seventeen;samedidimanche;17BIS R. MARCEL ALLEGOT;92190;MEUDON;48.821127,2.227741
Café de la Gare;dimanche;19 R. BANES;92190;MEUDON;48.808145,2.24094
Tabac de la Colline;dimanche;37 R. D'ORLÉANS;92210;SAINT-CLOUD;48.842155,2.2193
Kiosque à Journaux;dimanche;65 BD DE LA RÉPUBLIQUE;92210;SAINT-CLOUD;48.846157,2.213764
Le Bretagne;dimanche;2 R. DE LA RÉPUBLIQUE;92220;BAGNEUX;48.795881,2.301736
Le Paris Rome;lundi;11 AV. LOUIS PASTEUR;92220;BAGNEUX;48.799974,2.318413
Le Mozart;0;11 BIS RUE MOZART;92230;GENNEVILLIERS;48.92874,2.285148
Librairie - Presse;dimanche;29 BD DE STALINGRAD;92240;MALAKOFF;48.814569,2.286854
Le Montana;0;21TER BD STALINGRAD;92240;MALAKOFF;48.81134,2.29515
Hotel de Ville Café;dimanche;12 RD-PT DU SOUVENIR FRANÇAIS;92250;LA GARENNE-COLOMBES;48.906042,2.248219
Le Louis XV;samedi;31 B. R. DES BOURGUIGNONS;92270;BOIS-COLOMBES;48.913498,2.273143
Le Maryland;0;139 R. VICTOR HUGO;92270;BOIS-COLOMBES;48.919315,2.2675
Le Tabac de l'Ouest;dimanche;43 R. D'ALSACE;92300;LEVALLOIS-PERRET;48.893169,2.298706
Le Petit Flore;dimanche;6 R. CROIX DES PETITS CHAMPS;75001;PARIS;48.862537,2.33947
Le Pavé des Gardes;lundi;38 ROUTE DU PAVÉ DES GARDES;92310;SÈVRES;48.811491,2.210634
Le Ventadour;dimanche;46 R. DES PETITS-CHAMPS;75002;PARIS;48.867345,2.334511
Café de la Mairie;dimanche;1 R. DE LA GARE;92320;CHÂTILLON;48.800194,2.289496
Le Havane;dimanche;102 R. MONTORGUEIL;75002;PARIS;48.866266,2.347236
Le Patio;dimanche;5 R. DU DOCTEUR ROUX;92330;SCEAUX;48.784828,2.302126
La Tabatière;dimanche;17 BD MONTMARTRE;75002;PARIS;48.871668,2.340933
Tabac Le Joli Mai;dimanche;29 AV. DU GÉNÉRAL DE GAULLE;92360;MEUDON-LA-FORÊT;48.787493,2.227336
le Saint-louis;dimanche;37 R. DES DEUX PONTS;75004;PARIS;48.852331,2.356874
Tabac de la Paix;dimanche;766 AV. ROGER SALENGRO;92370;CHAVILLE;48.814585,2.192889
La Corona;dimanche;21 BD SAINT-MICHEL;75005;PARIS;48.851536,2.343466
Les Arcades;dimanche;4  R. ATHIME RUÉ;92380;GARCHES;48.844787,2.187246
Café Lilou;dimanche;62 BD DU PORT ROYAL.;75005;PARIS;48.837788,2.345713
L'Européen;dimanche;165 BD DE VERDUN;92400;COURBEVOIE;48.90511,2.256026
Le Week End;dimanche;36 R. GAY LUSSAC;75005;PARIS;48.844376,2.341855
La Tabatière;dimanche;58 AV. DE FOUILLEUSE;92500;RUEIL-MALMAISON;48.862272,2.195082
Tabac de la Mutualit;samedi;13 R. MONGE;75005;PARIS;48.848302,2.35048
Le Balto;dimanche;66 R. DE LA SABLIÈRE;92600;ASNIÈRES-SUR-SEINE;48.906154,2.268515
Le Mirbel;dimanche;4 R. DE MIRBEL;75005;PARIS;48.840814,2.352396
Le Voltaire;dimanche;22 BD VOLTAIRE;92600;ASNIÈRES-SUR-SEINE;48.912274,2.296486
Collège de France;dimanche;21 R. JEAN DE BEAUVAIS;75005;PARIS;48.848944,2.346622
Le Régence;dimanche;76 AV. HENRI BARBUSSE;92700;COLOMBES;48.917978,2.252573
Tabac Saint-Michel;0;22 R. SAINT-ANDRÉ DES ARTS;75006;PARIS;48.853293,2.342885
Le Mondial;dimanche;8 PL. LOUIS ARAGON;92700;COLOMBES;48.915136,2.229239
Côté Tabac;dimanche;20 R. LITTRÉ;75006;PARIS;48.844776,2.324177
Tabac aux sports;dimanche;41 R. SAINT-DENIS;92700;COLOMBES;48.923802,2.255976
Tabac de la Mairie;dimanche;114 R. DE GRENELLE;75007;PARIS;48.85675,2.320421
Librairie Du Lycée;dimanche;76 RUE DE ROSNY;93100;MONTREUIL;48.86322,2.44913
Le Rocher St-Lazare;dimanche;5 BIS R. DU ROCHER;75008;PARIS;48.875662,2.323123
La Paix;mercredi;148 RUE DES RUFFINS;93100;MONTREUIL;48.861075,2.474454
Le Liège;dimanche;45 R. D'AMSTERDAM;75008;PARIS;48.879508,2.326944
Le Magagnou;dimanche;35 AVENUE GALLIENI;93130;NOISY-LE-SEC;48.899733,2.464547
L' Espace Tabac;dimanche;1 R. CLAPEYRON;75008;PARIS;48.880992,2.324397
Tabac du Centre;dimanche;64 R. JULES GUESDE;93140;BONDY;48.903278,2.479499
Le Dunhill;dimanche;38 R. DE ROCHECHOUART;75009;PARIS;48.879073,2.345651
Librairie Molière;dimanche;CCIAL AVENUE LOUISE MICHEL;93150;LE BLANC-MESNIL;48.923032,2.475532
Le Cigarium;dimanche;5 R. GODOT DE MAUROY;75009;PARIS;48.870541,2.326691
Les copains;dimanche;213 AVENUE PAUL VAILLANT-COUTURIER;93150;LE BLANC-MESNIL;48.923985,2.462867
Civette Trinité;samedi;69 R. SAINT LAZARE;75009;PARIS;48.876773,2.332965
Tabac-Presse Kosan;dimanche;15 BOULEVARD DU MARÉCHAL FOCH;93160;NOISY-LE-GRAND;48.845841,2.529472
Le Royal Strasbourg;dimanche;34 BD. DE STRASBOURG;75010;PARIS;48.872057,2.356027
Le Fontenoy;dimanche;17 PLACE DE LA LIBÉRATION;93190;LIVRY-GARGAN;48.922646,2.543871
Le Coq D'Or;dimanche;88 RUE DU FAUBOURG SAINT-MARTIN;75010;PARIS;48.87268,2.357866
Le Cyrano;lundi;39 RUE EUGÈNE MASSE;93190;LIVRY-GARGAN;48.925854,2.544992
La Petite Etincelle;dimanche;38 BD. BEAUMARCHAIS;75011;PARIS;48.856437,2.36861
Le Royal Club;0;222 AVENUE DU PRÉSIDENT WILSON;93210;SAINT-DENIS;48.91319,2.357899
La Royale Civette;dimanche;164 RUE DE LA ROQUETTE;75011;PARIS;48.858629,2.384459
Le Narval;dimanche;95 AVENUE JULES GUESDE;93240;STAINS;48.964561,2.388724
Le Totem;dimanche;96 BOULEVARD DIDEROT;75012;PARIS;48.84708,2.384724
Le Calumet;dimanche;76 R. DE PARIS;93260;LES LILAS;48.879169,2.414262
Les Arcades;dimanche;68 AV. DAUMESNIL;75012;PARIS;48.844813,2.380112
Le Jean Bart;dimanche;159  RUE DE PARIS;93260;LES LILAS;48.880568,2.41853
Le Saint-Claude;dimanche;101 R. CLAUDE DECAEN;75012;PARIS;48.838943,2.395944
Le Celtique;0;39 AVENUE DE LA RÉPUBLIQUE;93300;AUBERVILLIERS;48.911021,2.384993
Le St-Mandé;dimanche;82 AV. DE ST MANDÉ;75012;PARIS;48.844525,2.405023
Civette de Pavillons;0;116 AV.JEAN JAURES;93320;LES PAVILLONS-SOUS-BOIS;48.904287,2.50449
Le Muratis;dimanche;2 RUE DE LYON;75012;PARIS;48.846011,2.372515
Civette De La Mairie;lundi;10 PLACE DU CHANOINE HEROUX;93330;NEUILLY-SUR-MARNE;48.856412,2.532512
Le Dugommier;dimanche;240 R. DE CHARENTON;75012;PARIS;48.838495,2.389599
La Civette du Raincy;lundi;8 PL. DU GÉNÉRAL DE GAULLE;93340;LE RAINCY;48.890047,2.512021
La Glacière;lundi;89 R. DE LA GLACIÈRE;75013;PARIS;48.833081,2.34449
Le Fontenoy;lundi;134 AV. DE LA RÉSISTANCE;93340;LE RAINCY;48.898954,2.51733
L'Ariel;dimanche;242 R. DE TOLBIAC;75013;PARIS;48.826479,2.342164
Le Boyard;dimanche;2 AV. MICHELET;93400;SAINT-OUEN;48.913826,2.344049
Le Jeanne d' Arc;dimanche;2 R. JEANNE D'ARC;75013;PARIS;48.828818,2.369849
Villa Picta;dimanche;4 AVENUE DU PARC DE LA NOUE;93420;VILLEPINTE;48.958982,2.543335
Tabac Store 65;dimanche;65 BD KELLERMANN;75013;PARIS;48.820546,2.350003
Le Balto;lundi;229 AVENUE JEAN JAURÈS;93700;DRANCY;48.915475,2.460007
Tabac Presse Loto;dimanche;10 PL. PINEL;75013;PARIS;48.833593,2.361861
Le Celtique;dimanche;1 BD. PAUL VAILLANT COUTURIER;93700;DRANCY;48.923256,2.446339
