commerce;jour de fermeture;adresse;code postal;ville;coord_geo
Le Saint-Laurent;0;55 R. DU PÈRE CORENTIN;75014;PARIS;48.824373,2.328309
Tabac Presse des HBM;dimanche;4 R. DE BRIQUEBEC;94190;VILLENEUVE-SAINT-GEORGES;48.740227,2.453532
Tabac du Dôme;0;108 BD DU MONTPARNASSE;75014;PARIS;48.842053,2.328799
Les Sports;dimanche;96 AV. DE VERDUN;94200;IVRY-SUR-SEINE;48.806916,2.374875
Le Comptoir du Parc;dimanche;20 R. CAUCHY;75015;PARIS;48.84279,2.27639
L'Aubrac;dimanche;1 AV. DU MAR. DE LATTRE DE TASSIGNY;94220;CHARENTON-LE-PONT;48.818551,2.419547
L'Ariel;dimanche;197 R. LECOURBE;75015;PARIS;48.84039,2.295655
Le Dispan;dimanche;3 R. DISPAN;94240;L'HAŸ-LES-ROSES;48.778991,2.338626
Le Chiquito;dimanche;112 R. ST-CHARLES;75015;PARIS;48.844916,2.283944
Tabac des Roses;lundi;106 108 R. DE BICÊTRE;94240;L'HAŸ-LES-ROSES;48.776874,2.354341
Le Drugstore;dimanche;112 R. LAURISTON;75016;PARIS;48.86597,2.285947
Le Marigny;dimanche;26 AV. DE FONTAINEBLEAU;94270;LE KREMLIN-BICÊTRE;48.81445,2.360655
Le Balto;dimanche;63  AV. DE LA GRANDE ARMÉE;75016;PARIS;48.876101,2.286589
Tabac La Plume Verte;dimanche;25 AV. CHARLES GIDE;94270;LE KREMLIN-BICÊTRE;48.806977,2.353682
Tabac des Sablons;dimanche;30 R. GREUZE;75016;PARIS;48.864398,2.282632
Zounina;dimanche;16 BD CHASTENAY DE GERY;94270;LE KREMLIN-BICÊTRE;48.805973,2.357872
Mille et une Feuille;dimanche;139  BIS AV. DE VERSAILLES;75016;PARIS;48.842241,2.268267
Le Marigny;dimanche;65 RUE DE FONTENAY;94300;VINCENNES;48.84809,2.438244
Le Mirabeau;dimanche;2 R. MIRABEAU;75016;PARIS;48.847274,2.272876
Emy Café;dimanche;0 CENTRE COMMERCIAL BELLE EPINE;94320;THIAIS;48.756509,2.371928
Tabac de l'empire;0;64 RUE MICHEL ANGE;75016;PARIS;48.842901,2.259811
Le Reinitas;dimanche;6 PL. PAUL FROMENT;94400;VITRY-SUR-SEINE;48.78646,2.402074
Plum2000;0;174 RUE DE LA POMPE;75016;PARIS;48.870864,2.283375
La Platanaie;dimanche;11 PLACE DE VERDUN;94420;LE PLESSIS-TRÉVISE;48.805167,2.584646
Le Voltigeur;dimanche;118 BOULEVARD BERTHIER;75017;PARIS;48.888792,2.30081
Le Marigny;dimanche;4 R. HENRI CRETTE;94550;CHEVILLY-LARUE;48.771443,2.355521
Tabac Le Courcelles;dimanche;94 BD DE COURCELLES;75017;PARIS;48.879218,2.303262
Le Mondial;dimanche;157 B R. JEAN JAURÈS;94700;MAISONS-ALFORT;48.79118,2.435138
Tabac Le Tocqueville;dimanche;55 BD. PEREIRE;75017;PARIS;48.887415,2.307317
La Civette;lundi;29 AV. DE LA RÉPUBLIQUE;94700;MAISONS-ALFORT;48.802441,2.433
Le Narval;dimanche;17 R. DES DAMES;75017;PARIS;48.884807,2.324903
7ème Avenue;dimanche;60 AV. DE PARIS;94800;VILLEJUIF;48.802524,2.364357
Le Niel;0;42 R. PIERRE DEMOURS;75017;PARIS;48.881436,2.295115
Hôtel des Pavillons;lundi;121 BD DU GÉNÉRAL DELAMBRE;95100;ARGENTEUIL;48.934626,2.224701
Le Jouffroy;dimanche;47 R. JOUFFROY D'ABBANS;75017;PARIS;48.885249,2.307637
Tabac de la Basiliqu;dimanche;2 R. HENRI BARBUSSE;95100;ARGENTEUIL;48.941554,2.246816
La Rotonde Hébertine;0;3 PL. HÉBERT;75018;PARIS;48.893073,2.363466
Le Bistrot;dimanche;34 AV. DU MAR. FOCH;95100;ARGENTEUIL;48.9449,2.254942
Le Nouveau Siècle;0;156 AVENUE DE SAINT OUEN;75018;PARIS;48.897365,2.32908
Le Brelan;dimanche;2 BD LÉON FEIX;95100;ARGENTEUIL;48.948756,2.252972
Cépage Montmartrois;dimanche;65 R. CAULAINCOURT;75018;PARIS;48.889611,2.335946
Mag Presse;0;CCIAL 25 ROUTE D'ENGHIEN;95100;ARGENTEUIL;48.956671,2.282884
Le Flash;0;25 BD  ORNANO;75018;PARIS;48.893618,2.347769
Le Vizir;dimanche;10 AV. DE LA DIVISION LECLERC;95170;DEUIL-LA-BARRE;48.966884,2.317732
Divette de Clichy;dimanche;18 AV. DE CLICHY;75018;PARIS;48.884909,2.326951
Tabac de la Mairie;0;5 AVENUE GABRIEL PÉRI;95870;BEZONS;48.927751,2.215166
Le Reinitas;dimanche;18 R. DU POTEAU;75018;PARIS;48.893514,2.342645
Le Calumet;dimanche;9 AV. SECRÉTAN;75019;PARIS;48.882181,2.371337
Le Navigateur;dimanche;103 AV. SIMON BOLIVAR;75019;PARIS;48.878103,2.374019
Tabac La Gitane;dimanche;3 RUE LASSUS;75019;PARIS;48.875278,2.389009
Le Rendez Vous;dimanche;10 BD DE LA VILLETTE;75019;PARIS;48.875155,2.38755
Tabac Le Rallye;dimanche;107 R. MANIN;75019;PARIS;48.883335,2.388061
Le Bolivar;dimanche;125 AV. SIMON BOLIVAR;75019;PARIS;48.880752,2.373745
Tabac d'Eden;dimanche;82 BD. DE BELLEVILLE;75020;PARIS;48.873587,2.384483
Civette de Pelleport;dimanche;127 AVENUE GAMBETTA;75020;PARIS;48.868543,2.401462
L'Aubisque;lundi;113 R. DES PYRÉNÉES;75020;PARIS;48.85604,2.404857
TabacPtedesLilas;dimanche;306 R. DE BELLEVILLE;75020;PARIS;48.87662,2.405023
Le Saint-Germain;dimanche;120 R. DE BAGNOLET;75020;PARIS;48.86004,2.404017
Tabac Krys;dimanche;54  R. DE BAGNOLET;75020;PARIS;48.857285,2.399014
Tabac le Vincennes;dimanche;67 COURS DE VINCENNES;75020;PARIS;48.847904,2.405707
Au Balcon;0;142 BD. DE MÉNILMONTANT;75020;PARIS;48.870181,2.39716
L'étoile des roches;dimanche;37 COURS DES ROCHES;77186;NOISIEL;48.845678,2.615507
TABAC DE LA GARE;dimanche;2 PL. AURIBAULT;77340;PONTAULT-COMBAULT;48.805892,2.617909
l'Harmonie;lundi;CCIAL 1  AV. DES PYRAMIDES;77420;CHAMPS-SUR-MARNE;48.854888,2.583378
L'Ecu de France;dimanche;95 AVENUE DES SCIENCES;77500;CHELLES;48.902948,2.592486
Tabac de la Gare;mercredi;2 AV. DU MARÉCHAL FOCH;77500;CHELLES;48.874108,2.580733
Le Larzac;dimanche;2 AVENUE DE LA RÉSISTANCE;77500;CHELLES;48.878966,2.587945
Chez Ludo et Dia;dimanche;3 PL. D'ISIGNY;78000;VERSAILLES;48.801957,2.161428
Tabac des Arcades;dimanche;163 R. DU PDT FRANÇOIS MITTERRAND;91160;LONGJUMEAU;48.690028,2.288909
Tabac du Pont;lundi;90 R. FRANÇOIS MITTERRAND;91160;LONGJUMEAU;48.695353,2.294434
Le Central;dimanche;72 AV. JEAN JAURÈS;91230;MONTGERON;48.714838,2.445732
Le Balto;mardi;28 GRANDE RUE;91260;JUVISY-SUR-ORGE;48.688945,2.376401
Horizon 3000;0;1 AV DE L EUROPE -  C. CIAL CORA;91300;MASSY;48.726667,2.278109
La Concorde;lundi;120 R. D'ESTIENNE D'ORVES;91370;VERRIÈRES-LE-BUISSON;48.742753,2.261705
Le Calumet;dimanche;36 AV. MAZARIN C.C.DE BEL ABORD;91380;CHILLY-MAZARIN;48.707688,2.316136
Le Marigny;dimanche;7 PL. LUCIEN BOILLEAU;91420;MORANGIS;48.706533,2.335001
Le Fontenoy;lundi;1 R. H. OUZILLEAU C.C GRAND VAUX;91600;SAVIGNY-SUR-ORGE;48.674223,2.338528
Tabac de la Gare;0;3 PL.  DE LA GARE;91600;SAVIGNY-SUR-ORGE;48.675943,2.351519
Ets la Source;dimanche;1 R. DE LA SOURCE;92000;NANTERRE;48.886441,2.205395
La Civette Du Parc;dimanche;11 ESPLANADE CHARLES DE GAULLE;92000;NANTERRE;48.895479,2.223316
Le Fontenoy;dimanche;36 R. HENRI BARBUSSE;92000;NANTERRE;48.890407,2.19503
Le Balto;lundi;1 R. DE STALINGRAD;92000;NANTERRE;48.891718,2.199819
Brasserie du Forum;dimanche;250 ALL. DU FORUM DE SÈVRES;92100;BOULOGNE-BILLANCOURT;48.82897,2.232296
Presse;dimanche;2 ROND POINT RHIN ET DANUBE;92100;BOULOGNE-BILLANCOURT;48.840789,2.229019
Au Ptit Creux Gourma;0;11 RUE GEORGES SEURAT;92110;CLICHY;48.910314,2.308632
Librairie du Centre;dimanche;79 AV.DE LA RÉPUBLIQUE;92120;MONTROUGE;48.815422,2.3178
Le Petit Paris;dimanche;39 AV. DE LA RÉPUBLIQUE;92120;MONTROUGE;48.819485,2.320337
L'Europe;dimanche;79/81 AV. PIERRE BROSSOLETTE;92120;MONTROUGE;48.819616,2.310632
LA DIVETTE;dimanche;63 AV. ARISTIDE BRIAND;92120;MONTROUGE;48.816943,2.325819
Tabac - Presse;dimanche;76 R. CAMILLE DESMOULINS;92130;ISSY-LES-MOULINEAUX;48.829794,2.264482
Bar de la Cavée;vendredi;183 AV. DE GÉN. DE GAULLE;92140;CLAMART;48.788224,2.258636
Le Narval;dimanche;72 R. PAUL VAILLANT-COUTURIER;92140;CLAMART;48.805125,2.259634
Tabac du Théâtre;dimanche;2 PL. DE STALINGRAD;92150;SURESNES;48.863637,2.202059
Le Calumet;dimanche;37 AV. JEAN JAURÈS;92150;SURESNES;48.865027,2.204681
Le Carrefour;0;1 R. DE LA POTERIE;92150;SURESNES;48.862034,2.212807
Tabac - Presse;dimanche;71 AV. ARISTIDE BRIAND;92160;ANTONY;48.758216,2.306741
Tabac de la Gare;dimanche;22 AV. JACQUES JEZEQUEL;92170;VANVES;48.818749,2.291416
Les Tilleuls;dimanche;13 PL. DE STALINGRAD;92190;MEUDON;48.814607,2.234805
Le Celtique;dimanche;221 AV. CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;48.885348,2.257535
Le Marly;dimanche;54 AV. DU ROULE;92200;NEUILLY-SUR-SEINE;48.882732,2.277132
Le Magenta;dimanche;1 PL. MAGENTA;92210;SAINT-CLOUD;48.842199,2.207451
Le Beau Site;0;140  BOULEVARD DE LA RÉPUBLIQUE;92210;SAINT-CLOUD;48.851946,2.213006
Tabac - Presse;dimanche;43 AV. HENRI BARBUSSE;92220;BAGNEUX;48.80169,2.315636
Le Diplomate;0;60 R. PIERRE TIMBAUD;92230;GENNEVILLIERS;48.933584,2.297188
Tabac du Clos;dimanche;2  BD DU COL. FABIEN;92240;MALAKOFF;48.81396,2.278432
Fontaine aux Roses;dimanche;113 R. BOUCICAUT;92260;FONTENAY-AUX-ROSES;48.793747,2.284319
Le Lonchamps;dimanche;57 R. JEAN JAURÈS;92300;LEVALLOIS-PERRET;48.892335,2.293499
Le Narval;dimanche;120 R. ANATOLE FRANCE;92300;LEVALLOIS-PERRET;48.895532,2.281995
Au Fil des Jours;dimanche;102 AV. DE PARIS;92320;CHÂTILLON;48.807741,2.295376
La Civette du Centre;dimanche;4 R. JEAN-PIERRE TIMBAUD;92320;CHÂTILLON;48.802106,2.286801
Le Commerce;dimanche;56 AV. DU GÉN LECLERC;92340;BOURG-LA-REINE;48.782044,2.316346
Tabac du Parc;0;19 AVENUE DU MARÉCHAL LECLERC;92360;MEUDON-LA-FORÊT;48.790073,2.224908
La Camargue;dimanche;18 ALL.  MARCEL SIMON;92360;MEUDON-LA-FORÊT;48.787263,2.235198
La Rotonde;dimanche;13  R. HENRI BARBUSSE;92390;VILLENEUVE-LA-GARENNE;48.936061,2.334259
Le Flash;dimanche;35 R. JEAN-PIERRE TIMBAUD;92400;COURBEVOIE;48.89804,2.253275
La Tabatière;dimanche;70 R. DE BEZONS;92400;COURBEVOIE;48.897636,2.247653
Le Saint-Claude;0;42 BD DE VERDUN;92400;COURBEVOIE;48.89981,2.261542
Tabac Becon;dimanche;11 AV. DE LA LIBERTÉ;92400;COURBEVOIE;48.904656,2.268528
Tabac Le Vinci;dimanche;17 AV. LÉONARD DE VINCI;92400;COURBEVOIE;48.896593,2.235882
Tabac Beauregard;dimanche;67 AV. DU 18 JUIN 1940;92500;RUEIL-MALMAISON;48.868105,2.1939
Le Tobacco;dimanche;4 ALL. DE L'HÔTEL DE VILLE;92500;RUEIL-MALMAISON;48.880563,2.184469
Presse'tige;dimanche;191 AV. NAPOLÉON BONAPARTE;92500;RUEIL-MALMAISON;48.875177,2.168884
Tabac - Presse;samedi;81 BD VOLTAIRE;92600;ASNIÈRES-SUR-SEINE;48.91542,2.292555
Le Flachat;dimanche;35 R. DE CHANZY;92600;ASNIÈRES-SUR-SEINE;48.909212,2.273288
Tabac de la Gare;dimanche;9 AV. DE L'AGENT SARRE;92700;COLOMBES;48.923883,2.259987
Tabac de la Gare;dimanche;1 R. FERNAND PELLOUTIER;92800;PUTEAUX;48.883061,2.23302
Le Valmy;dimanche;4 COURS VALMY;92800;PUTEAUX;48.892434,2.232496
Le Montalegre;lundi;118 AV. DU PRÉSIDENT WILSON;92800;PUTEAUX;48.885689,2.22681
La Coupole D'Argent;dimanche;1 R. CHANTECOQ;92800;PUTEAUX;48.882733,2.238946
Le Bar des Amis;lundi;38 CHEMIN DE GROSLAY;93000;BOBIGNY;48.907194,2.471295
La Source;dimanche;7 R. DE PARIS;93000;BOBIGNY;48.895641,2.425572
Le Celtique;0;175 BD. DE LA BOISSIÈRE;93100;MONTREUIL;48.877388,2.462122
Le Jean Nicot;dimanche;70 RUE DE PARIS;93100;MONTREUIL;48.857189,2.430876
Tabac de la Cité;lundi;221 BD THÉOPHILE SUEUR;93100;MONTREUIL;48.859218,2.466856
Le Brazza;dimanche;7 BD. DE LA RÉPUBLIQUE;93130;NOISY-LE-SEC;48.895878,2.461245
Tabac des Tilleuls;dimanche;22 RUE MAURICE AUDIN;93150;LE BLANC-MESNIL;48.948105,2.451469
Le Brazza;dimanche;140 R. PIERRE BROSSOLETTE;93160;NOISY-LE-GRAND;48.847985,2.548085
civette de Bel Est;dimanche;28 AV. DU GÉNÉRAL DE GAULLE;93170;BAGNOLET;48.865022,2.416916
Le Tabac du Barrage;0;149 R. GABRIEL PÉRI;93200;SAINT-DENIS;48.943858,2.356817
Le Khedive;dimanche;3 PL. VICTOR HUGO;93200;SAINT-DENIS;48.935725,2.358232
La Mont Joie;dimanche;171 AV. DU PDT WILSON;93210;LA PLAINE-SAINT-DENIS;48.91103,2.35763
Le Brazza;dimanche;8 ROUTE DE MONTREUIL;93230;ROMAINVILLE;48.875847,2.448597
Le Totem;dimanche;35 AV. PAUL VAILLANT COUTURIER;93240;STAINS;48.952568,2.381973
Le Celtique;dimanche;60 RUE PARMENTIER;93240;STAINS;48.969207,2.374587
Civette du Globe;lundi;107 AV. DE STALINGRAD;93240;STAINS;48.949877,2.386068
Bar Monte Christo;dimanche;16 GRANDE RUE;93250;VILLEMOMBLE;48.884027,2.50999
Le Royal;lundi;40 BD DU GÉNÉRAL LECLERC;93260;LES LILAS;48.880216,2.425828
Rougemont Presse;dimanche;2 RUE PIERRE BROSSOLETTE;93270;SEVRAN;48.933419,2.510796
Le Terminus;dimanche;10 RUE DE LA GARE;93270;SEVRAN;48.935535,2.534049
Tabac Presse;0;120 RUE HÉLÈNE COCHENNEC;93300;AUBERVILLIERS;48.919779,2.394782
Tabac du Babylone;dimanche;5 AVENUE FAIDHERBE;93310;LE-PRE-SAINT-GERVAIS;48.879994,2.411131
Le Madrigal;dimanche;64 AVENUE DANIEL PERDRIGE;93360;NEUILLY-PLAISANCE;48.871282,2.51549
Tabac de La Poste;dimanche;46 AVENUE DU MARÉCHAL FOCH;93360;NEUILLY-PLAISANCE;48.861861,2.506054
Tabac de la Mairie;dimanche;43  RUE HENRI BARBUSSE;93370;MONTFERMEIL;48.900375,2.567513
Tabac de La Tour;dimanche;26 PLACE DE LA TOUR;93390;CLICHY-SOUS-BOIS;48.907913,2.543728
Le Landy;0;1 BOULEVARD JEAN JAURÈS;93400;SAINT-OUEN;48.915066,2.337771
Pep's;dimanche;7 PLACE GABRIEL PÉRI;93440;DUGNY;48.954867,2.417193
Tabac Kas;dimanche;CCIAL PARINOR-LE HAUT DE GALLY;93600;AULNAY-SOUS-BOIS;48.960472,2.473628
Le Voltigeur;lundi;70 AVENUE MARCEAU;93700;DRANCY;48.929348,2.43375
Librairie Fontaine;dimanche;14 R. ARTHUR FONTAINE;93700;DRANCY;48.91903,2.455495
Presse Avenir;dimanche;60 R. ST-STENAY - C.CIAL AVENIR;93700;DRANCY;48.919786,2.420214
Maison De La Presse;dimanche;95 AV. HENRI BARBUSSE;93700;DRANCY;48.918409,2.44816
L‘Interlude;dimanche;2 R. SAINT-SIMON;94000;CRÉTEIL;48.790799,2.453137
Le Kennedy;dimanche;90 R. GARIBALDI;94100;SAINT-MAUR-DES-FOSSÉS;48.794065,2.486203
Tabac de la Marne;lundi;72 R.DU PONT DE CRÉTEIL;94100;SAINT-MAUR-DES-FOSSÉS;48.801809,2.471894
Le Brazza;dimanche;123 AV. ARISTIDE BRIAND;94110;ARCUEIL;48.801945,2.324355
Tabac de la Gare;dimanche;67 AV. MAR. DE LATTRE DE TASSIGNY;94140;ALFORTVILLE;48.802008,2.425868
Le Royal 16;dimanche;16 R. CHARLES DE GAULLE;94140;ALFORTVILLE;48.814453,2.413664
Tabac Grand Ciel;dimanche;30 BD P.VAILLANT-COUTURIER - CC-;94200;IVRY-SUR-SEINE;48.819081,2.396567
Le Balto;dimanche;3 R. PIERRE CURIE;94200;IVRY-SUR-SEINE;48.81545,2.376169
Tabac des Ecoles;dimanche;79 R. DE PARIS;94220;CHARENTON-LE-PONT;48.821521,2.413434
Studio-Presse;dimanche;17 R. JEAN JAURÈS;94240;L'HAŸ-LES-ROSES;48.778396,2.334989
Le Petit Robinson;lundi;1 AV. HENRI BARBUSSE;94240;L'HAŸ-LES-ROSES;48.779795,2.327894
Tabac le Gallia;dimanche;54 AV. RASPAIL;94250;GENTILLY;48.813724,2.347711
Librairie Peupleraie;dimanche;44 BD PASTEUR;94260;FRESNES;48.756814,2.315111
Tabac - Presse;dimanche;9 PL. DE L'ÉGLISE;94260;FRESNES;48.75457,2.322921
Le Diplomate;dimanche;57 AV.DE LA RÉPUBLIQUE;94260;FRESNES;48.760069,2.319043
Tabac des Rigollots;dimanche;153 R. DEFRANCE;94300;VINCENNES;48.849527,2.45613
Le Liberté;dimanche;9 PL. DES LIBERTÉS;94380;BONNEUIL-SUR-MARNE;48.764201,2.486826
Le Tabariot;dimanche;2  R. AUDIGEOIS;94400;VITRY-SUR-SEINE;48.790811,2.391965
Papeterie - Presse;lundi;131 BD STALINGRAD;94400;VITRY-SUR-SEINE;48.801573,2.378949
Café MILAN;mercredi;73 AV. ROUGET DE L'ISLE;94400;VITRY-SUR-SEINE;48.777929,2.396528
Tabac De La Mairie;dimanche;4 RUE LOUIS TALAMONI;94500;CHAMPIGNY-SUR-MARNE;48.813588,2.510422
Le Prestige;lundi;182 AV. MAURICE THOREZ;94500;CHAMPIGNY-SUR-MARNE;48.816302,2.538542
Mag Presse;dimanche;2 PL. DE LATTRE DE TASSIGNY;94550;CHEVILLY-LARUE;48.771362,2.367334
Civette des Gondoles;dimanche;64 AV. VICTOR HUGO;94600;CHOISY-LE-ROI;48.768833,2.421341
Le Chiquito;dimanche;61 AV. DU GÉN. DE GAULLE;94700;MAISONS-ALFORT;48.802102,2.429833
Le Condorcet;mercredi;230 AV. DE LA RÉPUBLIQUE;94700;MAISONS-ALFORT;48.809941,2.455566
Tabac Laporte;dimanche;22 COURS DES JUILLIOTTES;94700;MAISONS-ALFORT;48.803604,2.443482
Tabac - Presse;dimanche;63 R. DU MOULIN DE SAQUET;94800;VILLEJUIF;48.790745,2.371437
Tabac Presse;dimanche;92 R. YOURI GAGARINE;94800;VILLEJUIF;48.783396,2.357725
Tabac Aline;dimanche;1 R. CAMILLE BLANC;94800;VILLEJUIF;48.782717,2.366675
mag presse;dimanche;67 AV. DE STALINGRAD;94800;VILLEJUIF;48.783388,2.36729
Le Rallye;lundi;77 R. JEAN JAURÈS;94800;VILLEJUIF;48.792774,2.366587
Le Disque Bleu;dimanche;29 AV. PAUL VAILLANT-COUTURIER;94800;VILLEJUIF;48.794666,2.362763
Tabac du Château;dimanche;15 AV. DU CHÂTEAU;95100;ARGENTEUIL;48.933862,2.23194
Le Gaulois;dimanche;6 PL. DU 11 NOVEMBRE;95100;ARGENTEUIL;48.935818,2.238597
les Jardinsde la Gar;dimanche;155 AV. MAURICE UTRILLO;95100;ARGENTEUIL;48.947308,2.232335
La Tabatière;jeudi;156 AV. JEAN JAURÈS;95100;ARGENTEUIL;48.940481,2.224305
Tabac - Presse;dimanche;23 AV. DE COMMUNE DE PARIS;95140;GARGES-LÈS-GONESSE;48.971138,2.399331
Café de la Gare;dimanche;5 AV. PIERRE SÉMARD;95400;ARNOUVILLE;48.988007,2.405064
Tabac du Puits;dimanche;1 AVENUE DU 8 MAI 1945;95400;VILLIERS-LE-BEL;49.006247,2.400516
Blé Garni;mercredi;127 AV. GABRIEL PÉRI;95870;BEZONS;48.933948,2.209352
Mag Presse;dimanche;41 R. DE SARTROUVILLE;95870;BEZONS;48.934577,2.203339
Le Victor Hugo;0;29 R. VICTOR HUGO;95870;BEZONS;48.929815,2.222015
Et Cetera;dimanche;10 R. DES HALLES;75001;PARIS;48.859744,2.346908
Le Lucky;dimanche;65 R. D'ABOUKIR;75002;PARIS;48.867663,2.34647
La Violette;dimanche;5 BD. DE SAINT-DENIS;75003;PARIS;48.869007,2.354893
Le Tabac de Rivoli;dimanche;44 R. DE RIVOLI;75004;PARIS;48.856721,2.355225
Le Victoria;dimanche;6 R. SAINT-MARTIN;75004;PARIS;48.857372,2.349354
Tabac Alfa;dimanche;40 R. MONGE;75005;PARIS;48.845681,2.351812
Le Rond-Point;dimanche;123 R. MONGE;75005;PARIS;48.838712,2.350878
Presse - Tabac;dimanche;9 R. DE BLAINVILLE;75005;PARIS;48.844409,2.348435
Civette Saint-Michel;dimanche;137 BD SAINT-MICHEL;75005;PARIS;48.841805,2.338021
Tabac Notre-Dame;mardi;3 R. LAGRANGE;75005;PARIS;48.851931,2.348118
Les Facultés;dimanche;110 R. D'ASSAS;75006;PARIS;48.842492,2.334632
Tabac-Presse-Loto;dimanche;78 R. DE SEINE;75006;PARIS;48.85161,2.33699
Tabac Eiffel;dimanche;22 AV. DE LA BOURDONNAIS;75007;PARIS;48.85894,2.297865
Le Paris Duquesne;dimanche;41 AV. DUQUESNE;75007;PARIS;48.85132,2.311083
Le Saint Cirgues;dimanche;206 R. DE GRENELLE;75007;PARIS;48.856901,2.303645
Tabac Cave à Cigare;dimanche;20 AV. BOSQUET;75007;PARIS;48.858457,2.303394
Le Castel;dimanche;5 AV. DE SUFFREN;75007;PARIS;48.856896,2.292055
Aux Ministères;dimanche;53 AV. DE SÉGUR;75007;PARIS;48.849802,2.308431
Le Pot à Tabac;dimanche;28 R. DE LA PÉPINIÈRE;75008;PARIS;48.875021,2.320357
Tabac de Pigalle;dimanche;34 R. LA BRUYÈRE;75009;PARIS;48.879598,2.333685
L'Energie;dimanche;65 R. DE MAUBEUGE;75009;PARIS;48.8797,2.349288
L'Instant Partagé;dimanche;52  BIS  R. DES MARTYRS;75009;PARIS;48.879832,2.340287
Le Hollywood;dimanche;19 R. DE CLICHY;75009;PARIS;48.878006,2.330083
Le Voltaire;0;130 BD VOLTAIRE;75011;PARIS;48.857469,2.380349
Le Gallia;dimanche;39 R. SAINT-AMBROISE;75011;PARIS;48.86303,2.379086
Paristar;dimanche;88B AV. PARMENTIER;75011;PARIS;48.865447,2.374724
Le Normandie;dimanche;109 R. DE CHARONNE;75011;PARIS;48.85463,2.384783
Le Marceau;dimanche;111 AV. LEDRU ROLLIN;75011;PARIS;48.852958,2.376926
L'Harmonie;dimanche;16 RUE DU FAUBOURG DU TEMPLE;75011;PARIS;48.868236,2.365871
Le Royal Parmentier;dimanche;17 AV. PARMENTIER;75011;PARIS;48.860356,2.378341
La Civette Dorée;dimanche;3 BD SOULT;75012;PARIS;48.835886,2.406696
Café de la Seine;dimanche;21 AVENUE LEDRU-ROLLIN;75012;PARIS;48.846828,2.369273
Le Gavroche;dimanche;49 BD. DE REUILLY;75012;PARIS;48.839595,2.394224
Le Triple 8;dimanche;157 RUE DE CHARENTON;75012;PARIS;48.844763,2.383678
Tabac Montgallet;dimanche;56 R. JACQUES HILLAIRET;75012;PARIS;48.843759,2.389877
La Terrasse;dimanche;1 PL. LACHAMBEAUDIE;75012;PARIS;48.835914,2.386046
Iris Café;dimanche;2 BD. DE PICPUS;75012;PARIS;48.84133,2.398624
Le Celtique;dimanche;25 BD AUGUSTE BLANQUI;75013;PARIS;48.830244,2.352958
La Page Massena;dimanche;96 BD MASSENA;75013;PARIS;48.820983,2.367169
Tabac Tolbiac;dimanche;34 R. DE TOLBIAC;75013;PARIS;48.828455,2.372664
Tabac  Arago;dimanche;53 BD ARAGO;75013;PARIS;48.834776,2.345096
Le Narval;dimanche;58 R. JEANNE D'ARC;75013;PARIS;48.831515,2.366225
Le Longchamps;dimanche;21 R. DE LA BUTTE AUX CAILLES;75013;PARIS;48.827612,2.349646
Le Tabarium;dimanche;27 AV. DES GOBELINS;75013;PARIS;48.836488,2.352376
Le Rallye;dimanche;81 R. DE LA TOMBE ISSOIRE;75014;PARIS;48.827494,2.332524
Tabac de la Gaïté;dimanche;49  R. DE LA GAÎTÉ;75014;PARIS;48.838589,2.322794
La Rotonde;dimanche;7 PL. DU 25 AOÛT 1944;75014;PARIS;48.822182,2.325793
Café le Renoir;dimanche;207 R. RAYMOND LOSSERAND;75014;PARIS;48.82852,2.307321
Le Fontenoy;dimanche;37 R. RAYMOND LOSSERAND;75014;PARIS;48.835293,2.320793
La Royale;dimanche;80 R. DE L'AM. MOUCHEZ;75014;PARIS;48.821012,2.342811
Le Lutèce;dimanche;380 R. DE VAUGIRARD;75015;PARIS;48.833146,2.288834
Les Aviateurs;0;37 BD VICTOR;75015;PARIS;48.834078,2.285297
Au Jean Bart;dimanche;44 R. DU DR  ROUX;75015;PARIS;48.839606,2.30958
Les Volutés;0;114 R. DE LA CONVENTION;75015;PARIS;48.840897,2.288088
Le P'ti Bistrot;dimanche;62 R. SAINT-LAMBERT;75015;PARIS;48.836238,2.293301
Beau Drugstore;0;45 RUE LINOIS;75015;PARIS;48.847252,2.285125
Press'tation;dimanche;45B R. DE VOUILLÉ;75015;PARIS;48.834016,2.307993
Le  Flash;dimanche;38 R. PAUL BARRUEL;75015;PARIS;48.837752,2.305702
Le Chamois;dimanche;355 R. DE VAUGIRARD;75015;PARIS;48.836767,2.295726
Le Mozart;dimanche;108 AV. MOZART;75016;PARIS;48.850657,2.26701
Le Diplomate;dimanche;15 RUE SINGER;75016;PARIS;48.856194,2.277575
Le Royal Exelmans;dimanche;171 AV. DE VERSAILLES;75016;PARIS;48.840519,2.264993
La Favorite;dimanche;39 R. DE PASSY;75016;PARIS;48.857843,2.280897
Tabac de la Muette;dimanche;6 CHAUSSÉE DE LA MUETTE;75016;PARIS;48.85829,2.27385
Moulin d' Auteuill;dimanche;75 R. D'AUTEUIL;75016;PARIS;48.847865,2.260847
Le Celtique;dimanche;204 R. DE COUCELLES;75017;PARIS;48.886386,2.295921
Le Lutetia;0;161 RUE LEGENDRE;75017;PARIS;48.891134,2.325208
Civette Ponce;dimanche;14 R. PONCELET;75017;PARIS;48.879114,2.297156
La Civette des Arts;dimanche;62 R. DAMRÉMONT;75018;PARIS;48.890675,2.334493
