Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.7637868096,2.41138672494;"{""type"": ""Point"", ""coordinates"": [2.411386724936103, 48.7637868095517]}";701;43110;185;CHOISY-LE-ROI;CHOISY-LE-ROI;CHOISY-LE-ROI;2526;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-370;C;RER;RER C;2.0;803.0;SNCF;545285;1;0;656734.7134;6851681.6092
48.4936445785,2.19458169917;"{""type"": ""Point"", ""coordinates"": [2.194581699172115, 48.49364457848749]}";748;43081;274;ÉTRÉCHY;ETRECHY;ETRECHY;2562;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-189;C;RER;RER C;2.0;803.0;SNCF;545145;1;0;640492.8805;6821791.2596
48.7401815211,2.23096112506;"{""type"": ""Point"", ""coordinates"": [2.230961125063005, 48.74018152105127]}";766;43083;360;IGNY;IGNY;IGNY;2807;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-170;C;RER;RER C;2.0;803.0;SNCF;393561;1;0;643447.5634;6849171.1963
48.8301196393,2.26368964874;"{""type"": ""Point"", ""coordinates"": [2.263689648738452, 48.83011963925857]}";771;43410;367;ISSY-VAL DE SEINE;ISSY-VAL DE SEINE;ISSY VAL DE SEINE;2538;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-317;C;RER;RER C;2.0;803.0;SNCF;393306;1;0;645947.4807;6859147.8563
48.5655938628,2.29092446985;"{""type"": ""Point"", ""coordinates"": [2.290924469845002, 48.565593862829886]}";795;43159;518;MAROLLES-EN-HUREPOIX;MAROLLES-EN-HUREPOIX;MAROLLES-EN-HUREPOIX;2558;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-185;C;RER;RER C;2.0;803.0;SNCF;545186;1;0;647682.6388;6829720.8564
49.0191367398,2.15466348564;"{""type"": ""Point"", ""coordinates"": [2.154663485640923, 49.01913673984223]}";898;43180;645;PIERRELAYE;PIERRELAYE;PIERRELAYE;2575;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-231;C;RER;RER C;2.0;803.0;SNCF;276097;1;0;638169.176;6880245.8814
48.9056549549,2.32240040315;"{""type"": ""Point"", ""coordinates"": [2.322400403154985, 48.905654954927364]}";940;43203;832;SAINT-OUEN;SAINT-OUEN;SAINT-OUEN;2508;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-430;C;RER;RER C;2.0;803.0;SNCF;271254;1;0;650329.4003;6867508.1964
48.7987076353,2.07184700593;"{""type"": ""Point"", ""coordinates"": [2.071847005929401, 48.798707635288345]}";990;46990;814;SAINT-CYR;SAINT-CYR;SAINT-CYR;2544;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-79;C;RER;RER C;2.0;803.0;SNCF;393223;1;0;631823.8462;6855803.8011
48.8007184639,2.17138981276;"{""type"": ""Point"", ""coordinates"": [2.171389812756378, 48.80071846386354]}";1012;46688;916;VIROFLAY R.G;VIROFLAY RIVE GAUCHE;VIROFLAY RIVE GAUCHE;2542;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-73;C;RER;RER C;2.0;803.0;SNCF;382887;1;0;639137.6827;6855946.0349
48.7591889832,2.19213581266;"{""type"": ""Point"", ""coordinates"": [2.192135812662606, 48.75918898322]}";1022;43215;874;VAUBOYEN;VAUBOYEN;VAUBOYEN;2809;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-78;C;RER;RER C;2.0;803.0;SNCF;393538;1;0;640614.2037;6851312.9294
