Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.7889148967,2.43207011795;"{""type"": ""Point"", ""coordinates"": [2.432070117953791, 48.78891489669563]}";842;46280;437;LE VERT-DE-MAISONS;LE VERT-DE-MAISONS;LE VERT-DE-MAISONS;2852;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-372;D;RER;RER D;2.0;804.0;SNCF;681247;1;0;658275.0886;6854464.3221
48.9937771469,2.41618748893;"{""type"": ""Point"", ""coordinates"": [2.416187488926983, 48.99377714689271]}";1066;43222;909;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;VILLIERS-LE-BEL GONESSE ARNOUVILLE;2605;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-256;D;RER;RER D;2.0;804.0;SNCF;276220;1;0;657276.6642;6877252.6
49.2639441445,2.46891411535;"{""type"": ""Point"", ""coordinates"": [2.468914115351038, 49.263944144505324]}";1099;411440;1053;CREIL;CREIL;CREIL;0;RER;1;0;1;0;0;0;0;RER_D;0;RER_D;0;0;0;0;A01842;;RER D;27.0;RER D-502;D;RER;RER D;2.0;804.0;SNCF;0;0;0;661337.2338;6907273.6537
48.7712660381,2.43530633971;"{""type"": ""Point"", ""coordinates"": [2.435306339706322, 48.77126603812105]}";1118;46286;1159;CRETEIL POMPADOUR;CRETEIL POMPADOUR;CRETEIL POMPADOUR;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-379;D;RER;RER D;2.0;804.0;SNCF;0;1;0;658498.8113;6852500.3354
48.5315019865,2.37051849774;"{""type"": ""Point"", ""coordinates"": [2.370518497736707, 48.53150198648683]}";623;43087;48;BALLANCOURT;BALLANCOURT;BALLANCOURT;2886;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-212;D;RER;RER D;2.0;804.0;SNCF;681437;1;0;653524.9404;6825881.3486
48.5661178207,2.49271300424;"{""type"": ""Point"", ""coordinates"": [2.492713004236902, 48.56611782074197]}";631;45824;214;LE COUDRAY-MONTCEAUX;LE COUDRAY-MONTCEAUX;LE COUDRAY-MONTCEAUX;2899;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-210;D;RER;RER D;2.0;804.0;SNCF;681635;1;0;662571.2288;6829664.4286
48.667901961,2.54754804581;"{""type"": ""Point"", ""coordinates"": [2.547548045814366, 48.66790196104987]}";707;45771;196;COMBS-LA-VILLE-QUINCY;COMBS-LA-VILLE-QUINCY;COMBS-LA-VILLE-QUINCY;2860;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-43;D;RER;RER D;2.0;804.0;SNCF;682146;1;0;666681.8714;6840955.207
48.9767478483,2.39059365128;"{""type"": ""Point"", ""coordinates"": [2.390593651275819, 48.976747848286976]}";715;43251;322;GARGES-SARCELLES;GARGES-SARCELLES;GARGES SARCELLES;2604;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-255;D;RER;RER D;2.0;804.0;SNCF;276196;1;0;655389.1308;6875373.0102
48.6539697593,2.39617681244;"{""type"": ""Point"", ""coordinates"": [2.396176812439178, 48.65396975928158]}";724;43132;337;GRIGNY-CENTRE;GRIGNY-CENTRE;GRIGNY CENTRE;2892;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-165;D;RER;RER D;2.0;804.0;SNCF;681379;1;0;655523.3843;6839480.8795
48.5272433206,2.65499028486;"{""type"": ""Point"", ""coordinates"": [2.654990284856375, 48.52724332056844]}";804;47909;530;MELUN;MELUN;MELUN;2865;RER;1;0;1;0;0;0;0;RER_D;0;RER_D;0;0;0;0;A01842;C01728;RER D;27.0;RER D-49;D;RER;RER D;2.0;804.0;SNCF;682005;1;1;674525.4342;6825278.3422
48.8020493803,2.42648240848;"{""type"": ""Point"", ""coordinates"": [2.426482408484047, 48.802049380323915]}";871;43154;498;MAISONS-ALFORT-ALFORTVILLE;MAISONS-ALFORT-ALFORTVILLE;MAISONS-ALFORT ALFORTVILLE;2851;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-373;D;RER;RER D;2.0;804.0;SNCF;681155;1;0;657875.1827;6855927.6603
48.5871539054,2.47349036636;"{""type"": ""Point"", ""coordinates"": [2.473490366362305, 48.587153905360346]}";910;45761;571;MOULIN-GALANT;MOULIN-GALANT;MOULIN-GALANT;2883;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-208;D;RER;RER D;2.0;804.0;SNCF;681403;1;0;661168.5531;6832012.208
48.9175671757,2.3503895379;"{""type"": ""Point"", ""coordinates"": [2.350389537900992, 48.91756717568537]}";965;43204;806;STADE DE FRANCE-SAINT-DENIS;STADE DE FRANCE-SAINT-DENIS;STADE DE FRANCE-SAINT-DENIS;2610;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-451;D;RER;RER D;2.0;804.0;SNCF;0;1;0;652391.9594;6868815.5547
48.6589754238,2.41520683997;"{""type"": ""Point"", ""coordinates"": [2.415206839972444, 48.6589754238234]}";977;47948;740;RIS-ORANGIS;RIS-ORANGIS;RIS-ORANGIS;2879;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-154;D;RER;RER D;2.0;804.0;SNCF;681338;1;0;656929.2;6840026.8224
48.676092434,2.38678379703;"{""type"": ""Point"", ""coordinates"": [2.38678379703343, 48.676092433958694]}";1013;43225;917;VIRY-CHÂTILLON;VIRY-CHATILLON;VIRY-CHATILLON;2877;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-152;D;RER;RER D;2.0;804.0;SNCF;681312;1;0;654850.6244;6841945.6583
48.5926277413,2.46180638884;"{""type"": ""Point"", ""coordinates"": [2.461806388842184, 48.59262774128592]}";1057;47904;894;VILLABÉ;VILLABE;VILLABÉ;2897;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-207;D;RER;RER D;2.0;804.0;SNCF;681619;1;0;660310.9903;6832626.5274
48.7301168314,2.44613583093;"{""type"": ""Point"", ""coordinates"": [2.446135830934544, 48.730116831420254]}";1060;45067;901;VILLENEUVE-SAINT-GEORGES;VILLENEUVE-SAINT-GEORGES;VILLENEUVE-SAINT-GEORGES;2855;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-422;D;RER;RER D;2.0;804.0;SNCF;681825;1;0;659262.6018;6847919.6523
