"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","4","Hôtel de Ville, Paris","16","Arc de Triomphe, Place Charles de Gaulle, Paris","12/1/2019 - 12/31/2019, Every day",,,
"AM Peak","4","Hôtel de Ville, Paris","16","Arc de Triomphe, Place Charles de Gaulle, Paris","12/1/2019 - 12/31/2019, Every day",1687,1004,2832
"Midday","4","Hôtel de Ville, Paris","16","Arc de Triomphe, Place Charles de Gaulle, Paris","12/1/2019 - 12/31/2019, Every day",1805,1213,2685
"PM Peak","4","Hôtel de Ville, Paris","16","Arc de Triomphe, Place Charles de Gaulle, Paris","12/1/2019 - 12/31/2019, Every day",2522,1739,3657
"Evening","4","Hôtel de Ville, Paris","16","Arc de Triomphe, Place Charles de Gaulle, Paris","12/1/2019 - 12/31/2019, Every day",1527,1019,2288
"Early Morning","4","Hôtel de Ville, Paris","16","Arc de Triomphe, Place Charles de Gaulle, Paris","12/1/2019 - 12/31/2019, Every day",1125,811,1561
